ID,Name,Longitude,Latitude
16181,Ctrl Lib,103.77254,1.29657
16189,Information Technology,103.77285,1.29736
16191,Opp NUS Fac Of Architect,103.77037,1.29614
16199,NUS Fac Of Design & Env,103.77073,1.29639
16201,Barossa Gdns,103.78411,1.2813
16209,Horizon Residences,103.78401,1.28159
16211,Wharves Bldg,103.78358,1.27942
16219,Opp Wharves Bldg,103.78362,1.28016
16221,Opp Haw Par Villa Stn,103.78118,1.28298
16229,Haw Par Villa Stn,103.7816,1.28301
16231,Wholesale Ctr,103.77853,1.28636
16239,Opp Wholesale Ctr,103.77893,1.28644
16241,Bef West Coast Pk,103.77353,1.2891
16249,Bef Wholesale Ctr,103.77401,1.28928
16891,Opp Blk 420A,103.76816,1.30982
16991,Opp Nan Hua High Sch,103.76989,1.30778
17009,Clementi Int,103.76412,1.31492
17011,Opp Varsity Pk,103.76688,1.29387
17019,Varsity Pk,103.76705,1.2938
17021,Waseda S Snr High Sch,103.76691,1.29674
17029,Opp Waseda S Snr High Sch,103.7671,1.29695
17031,Kent Ridge Sec Sch,103.76568,1.30172
17039,Opp Kent Ridge Sec Sch,103.76606,1.30153
17041,Blk 726 Clementi West Mkt,103.76456,1.30421
17049,Blk 601,103.7646,1.30471
17051,Opp Regent Pk,103.7624,1.31726
17059,Regent Pk,103.7617,1.31694
17061,Blk 701,103.76181,1.30776
17069,Opp Blk 701,103.76214,1.30777
17071,Blk 513,103.76044,1.30892
17079,Blk 512,103.75999,1.30968
17081,Aft West Coast Highway,103.76458,1.2995
17091,Aft Clementi Ave 1,103.77158,1.30905
17099,Yale-NUS College,103.77165,1.30783
17101,Blk 352,103.77179,1.31487
17109,Opp Blk 352,103.77218,1.31553
17111,Blk 343,103.77125,1.3178
17119,Opp Blk 343,103.77193,1.31728
17121,Blk 610,103.76945,1.30476
17129,Aft NUS High Sch,103.76986,1.30514
17131,Clementi Flyover,103.76591,1.30804
17139,Aft Clementi Swim Cplx,103.76587,1.30903
17141,Clementi Stadium,103.7635,1.311
17149,Blk 426,103.76346,1.31172
17151,Blk 410,103.76961,1.3117
17159,Blk 365,103.76981,1.31198
17161,Blk 455,103.76685,1.31241
17169,Blk 329,103.7668,1.31285
17171,Clementi Stn Exit A,103.76503,1.31497
17179,Clementi Stn Exit B,103.76536,1.31528
17181,Opp Blk 317,103.76389,1.3175
17189,Blk 317,103.76406,1.31791
17191,NUS High Sch,103.76989,1.30567
17201,Blk 308,103.76735,1.32056
17211,Bet Blks 315/318,103.7659,1.31829
17219,Blk 376,103.76616,1.3182
17221,Blk 377,103.7679,1.31736
17229,Blk 335,103.76824,1.31728
17239,NTUC Fairprice,103.76585,1.31244
17241,Blk 334,103.76906,1.31519
17249,Blk 355,103.76934,1.31517
17251,Blk 460,103.76744,1.31148
17259,Opp Blk 460,103.76746,1.31093
17269,Blk 730,103.76274,1.30514
17279,Blk 723,103.76319,1.30292
17289,West Coast CC,103.76471,1.30232
17291,West Coast Pk,103.7697,1.29035
17299,Opp West Coast Pk,103.77005,1.29061
17301,Opp West Coast View,103.76517,1.29495
17309,West Coast View,103.76525,1.29537
17311,Opp Blk 801C,103.76229,1.30102
17319,Blk 716,103.7623,1.30184
17321,Tien Wah Press Bldg,103.76035,1.30483
17329,Blk 705,103.76058,1.30505
17331,Opp Blk 518,103.75833,1.30759
17339,Blk 518,103.7585,1.30786
17351,Aft Clementi Rd,103.76576,1.29358
17359,Bef Clementi Rd,103.76622,1.29334
17361,Opp West Coast Lk,103.76346,1.2986
17369,Aft West Coast Lk,103.76387,1.29841
17371,Blk 201,103.76357,1.32058
17379,Blk 304,103.76389,1.32049
17381,West Bay Resort Condo,103.76686,1.29908
17389,Opp West Bay Resort Condo,103.767,1.29908
18011,Aft Hortpark,103.8021,1.28087
18019,Bef Telok Blangah Hill Pk,103.80252,1.28091
18021,Opp GEMPLUS,103.78892,1.29645
18029,Tempco Mfg,103.78918,1.2961
18041,Normanton Pk,103.79317,1.28836
18049,Opp Science Pk,103.79208,1.29018
18051,One-North Stn,103.78734,1.29864
18059,Opp One-North Stn,103.78721,1.29849
18061,Blk 71,103.78738,1.29672
18069,Opp Blk 71,103.78755,1.29649
18071,NUH,103.78449,1.29543
18079,Opp NUH,103.78455,1.29648
18081,Blk 55,103.78734,1.29479
18089,S'pore Post,103.78757,1.29481
18099,Bef Ayer Rajah Cres,103.78954,1.29393
18101,PSB Science Pk Bldg,103.78635,1.29282
18109,Opp PSB Science Pk Bldg,103.78673,1.29403
18111,Fairfield Meth Pr Sch,103.78448,1.30059
18119,Opp Fairfield Meth Pr Sch,103.78467,1.30005
18121,Opp Ayer Rajah Ind Est,103.78542,1.29751
18129,Ayer Rajah Ind Est,103.78571,1.29776
18131,Science Pk,103.79183,1.2895
18141,Aft Anglo-Chinese JC,103.78788,1.30418
18149,Essec Business Sch,103.78724,1.30253
18151,Opp One-North Stn/Galaxis,103.78864,1.30051
18159,One-North Stn/Galaxis,103.78858,1.30035
18171,Bef Weyhill Cl,103.79413,1.29905
18179,Opp Weyhill Cl,103.79305,1.29988
18181,Opp Tanglin Trust Sch,103.79369,1.29715
18189,Tanglin Trust Sch,103.7939,1.2984
18191,Bef Whitchurch Rd,103.79594,1.29446
18199,Aft Whitchurch Rd,103.79408,1.29544
18201,Mediacorp Campus,103.79323,1.29498
18211,Infinite Studios,103.79522,1.29162
18221,NUH,103.78347,1.2963
18239,Opp NUH,103.78319,1.29679
18241,Opp Dnv Technology Ctr,103.78708,1.29092
18249,DNV Technology Ctr,103.78713,1.29072
18251,Opp Reuters,103.78845,1.29068
18261,Opp DSO Natl Laboratories,103.78934,1.29016
18269,Bef Reuters,103.78919,1.2901
18271,Blk 85,103.78993,1.28841
18279,Opp Blk 85,103.78977,1.28841
18281,The Rutherford,103.79121,1.28753
18289,Opp The Rutherford,103.79121,1.28738
18301,Lim Seng Tjoe Bldg (LT 27),103.78093,1.29739
18309,Blk S17,103.78134,1.29752
18311,Blk S12,103.77792,1.29744
18319,Opp University Hall,103.77813,1.29753
18321,Opp University Health Ctr,103.77562,1.29879
18329,University Health Ctr,103.77611,1.29892
18331,Kent Ridge Stn Exit A/NUH,103.78489,1.29371
18339,Opp Kent Ridge Stn Exit A,103.78508,1.29379
19011,Blk 19A CP,103.78424,1.30782
19019,Blk 27,103.78476,1.30807
19021,SP SMA,103.7812,1.30965
19029,Opp SP SMA,103.78202,1.30956
19031,Dover Stn Exit A,103.77838,1.31123
19039,Dover Stn Exit B,103.77868,1.31168
19041,Opp Sch Of Science & Tech,103.77553,1.31236
19049,Sch Of Science & Tech,103.77479,1.31266
19051,New Town Sec Sch,103.77392,1.30896
19059,University Town,103.77272,1.30895
19061,Ayer Rajah Telecoms,103.77782,1.30752
19069,Opp Ayer Rajah Telecoms,103.77671,1.30779
19071,Opp Acs Independent,103.78108,1.30516
19079,Dover Ct Intl Sch,103.78013,1.3061
19081,Opp ACS Boarding Sch,103.78282,1.30257
19089,Acs Independent,103.78184,1.3037
19091,S'pore Poly,103.78208,1.30739
19099,Opp S'pore Poly,103.78191,1.30697
20011,Blk 506,103.76129,1.31309
20019,Blk 431,103.76151,1.31358
20021,NEWest,103.75789,1.31676
20029,Opp NEWest,103.75768,1.31773
20031,The Infiniti,103.75465,1.32056
20039,Opp The Infiniti,103.75472,1.32102
20051,Cycle & Carriage,103.74754,1.32259
20059,Opp Cycle & Carriage,103.74769,1.32332
20061,Aft Jurong Town Hall Rd,103.74299,1.32381
20069,Bef Jurong Town Hall Rd,103.74419,1.32406
